trip_id	household_id	person_n	trip_n	travel_mode	purpose	fueltype	faretype	bus_scale	survey_year	travel_year	travel_month	travel_date	day_of_week	start_time	age	female	driving_license	car_ownership	distance	dur_walking	dur_cycling	dur_pt_access	dur_pt_rail	dur_pt_bus	dur_pt_int	pt_interchanges	dur_driving	cost_transit	cost_driving_fuel	cost_driving_ccharge	driving_traffic_percent
137	28	0	2	4	3	1	5	0.0	1	2012	4	2	1	18.0	84	0	1	2	6811	1.753333333	0.658055556	0.2575	0.333333333	0.0	0.0	0	0.327777778	0.0	1.12	0.0	0.30678
154	31	0	4	1	5	6	1	1.0	1	2012	4	2	1	13.0	32	0	1	0	157	0.061666667	0.0608333329999999	0.042222222	0.0	0.022222222	0.0	0	0.001111111	1.5	0.0	0.0	1.25
155	31	0	5	1	3	6	1	1.0	1	2012	4	2	1	14.25	32	0	1	0	2099	0.491111111	0.178611111	0.170833333	0.0	0.131111111	0.0	0	0.168611111	1.5	0.44	0.0	0.410214
171	37	0	0	3	2	2	2	0.0	1	2012	4	2	1	7.5	16	1	0	2	3654	0.874722222	0.305555556	0.091111111	0.0	0.311666667	0.1	1	0.252222222	0.0	0.59	0.0	0.47467
185	41	0	3	3	3	1	5	0.0	1	2012	4	3	2	16.75	62	1	1	2	2392	0.591944444	0.181388889	0.049166667	0.0	0.1875	0.0	0	0.176388889	0.0	0.48	0.0	0.179528
191	42	0	0	4	4	2	1	1.0	1	2012	4	3	2	6.75	48	0	1	2	10081	2.341388889	0.663611111	0.006111111	0.0	0.7775	0.229166667	2	0.4608333329999999	4.5	1.37	0.0	0.361061
197	42	1	4	4	4	2	1	1.0	1	2012	4	3	2	15.75	46	1	1	2	2995	0.760833333	0.219444444	0.225555556	0.0	0.243333333	0.0	0	0.198611111	1.5	0.51	0.0	0.197203
256	55	1	0	3	3	6	3	0.0	1	2012	4	3	2	12.0	14	0	0	0	10123	2.3769444440000003	0.8069444440000001	0.409166667	0.416666667	0.0	0.1166666669999999	1	0.736944444	0.75	1.74	10.5	0.608745
289	66	0	1	1	5	1	5	0.0	1	2012	4	4	3	13.25	76	1	1	2	1256	0.291666667	0.078333333	0.0841666669999999	0.0	0.047777778	0.0	0	0.049166667	0.0	0.17	0.0	0.186441
297	68	1	1	3	5	6	4	1.0	1	2012	4	5	4	12.5	26	1	0	0	1991	0.4744444439999999	0.1722222219999999	0.041944444	0.0	0.165555556	0.0	0	0.103333333	1.5	0.28	0.0	0.150538
308	71	0	2	4	3	2	5	0.0	1	2012	4	6	5	18.25	64	1	1	1	4787	1.228888889	0.3925	0.28	0.1166666669999999	0.044444444	0.114722222	1	0.243611111	0.0	0.68	0.0	0.22919
317	73	0	1	1	3	6	5	0.0	1	2012	4	6	5	9.833333333	64	0	1	0	960	0.2525	0.089444444	0.131666667	0.016666667	0.0	0.0	0	0.166944444	0.0	0.37	0.0	0.2013309999999999
322	75	0	0	4	1	1	1	1.0	1	2012	4	6	5	9.0	50	0	1	1	10360	2.353611111	0.743611111	0.465555556	0.35	0.0	0.0	0	0.627222222	2.29	1.74	0.0	0.523029
332	78	0	5	4	3	1	1	1.0	1	2012	4	6	5	20.5	52	1	1	2	23638	5.446666667000001	1.688333333	0.223055556	0.4	0.0	0.1	1	0.8080555559999999	6.4	3.68	0.0	0.405981
363	84	1	1	3	1	6	1	1.0	1	2012	4	7	6	18.25	49	0	0	0	4837	1.034444444	0.276944444	0.113333333	0.0	0.3752777779999999	0.0	0	0.302222222	1.5	0.7	0.0	0.495404
365	84	2	1	3	1	6	4	0.0	1	2012	4	7	6	18.33333333	18	0	1	0	3799	0.850833333	0.226944444	0.1066666669999999	0.0	0.2666666669999999	0.0	0	0.233055556	0.0	0.57	0.0	0.287247
395	93	1	1	1	3	1	1	1.0	1	2012	4	8	7	14.0	38	0	1	1	735	0.1891666669999999	0.0505555559999999	0.098055556	0.0	0.033888889	0.0	0	0.061666667	1.5	0.15	0.0	0.418919
415	96	3	0	4	3	2	2	0.0	1	2012	4	8	7	12.0	16	0	0	1	9272	2.203055556	0.628888889	0.083333333	0.183333333	0.476388889	0.15	1	0.4769444439999999	1.15	1.29	0.0	0.287129
430	98	0	2	4	3	1	1	1.0	1	2012	4	9	1	21.75	43	0	1	1	2041	0.511388889	0.156388889	0.053055556	0.0	0.191944444	0.0	0	0.1186111109999999	1.5	0.35	0.0	0.0819672
441	99	2	4	4	3	1	3	0.0	1	2012	4	9	1	16.0	14	1	0	1	8415	2.096111111	0.588333333	0.264722222	0.133333333	0.2097222219999999	0.1	1	0.6183333329999999	0.75	1.66	0.0	0.5422279999999999
458	103	3	1	3	3	6	3	0.0	1	2012	4	9	1	17.25	13	0	0	0	2673	0.679722222	0.2166666669999999	0.0897222219999999	0.0	0.279166667	0.083333333	1	0.217777778	0.0	0.51	0.0	0.195153
459	104	0	0	4	3	1	1	1.0	1	2012	4	9	1	11.0	54	1	1	2	4838	1.2338888890000002	0.321666667	0.1	0.0	0.3677777779999999	0.1	1	0.211111111	3.0	0.78	0.0	0.213158
461	105	0	1	4	4	6	1	1.0	1	2012	4	9	1	16.5	31	0	0	0	13664	3.204722222	0.963333333	0.116388889	0.483333333	0.0	0.1166666669999999	1	0.7044444440000001	3.0	2.13	0.0	0.374211
483	114	2	1	4	3	1	1	1.0	1	2012	4	10	2	17.66666667	21	1	1	1	2500	0.661666667	0.1866666669999999	0.148333333	0.0	0.225555556	0.0	0	0.1555555559999999	1.5	0.46	0.0	0.0946429
491	118	0	1	3	4	6	1	1.0	1	2012	4	10	2	21.25	49	0	1	0	11465	2.96	1.021388889	0.102777778	0.0	0.833333333	0.066666667	1	0.277777778	3.0	1.58	0.0	0.259
494	120	0	2	3	3	6	5	0.0	1	2012	4	10	2	13.5	69	1	1	0	2083	0.516944444	0.203333333	0.107777778	0.083333333	0.0	0.0	0	0.200277778	0.0	0.44	0.0	0.404993
512	124	0	0	1	3	6	1	1.0	1	2012	4	10	2	11.0	42	0	0	0	1116	0.260833333	0.081944444	0.090833333	0.0	0.050833333	0.0	0	0.090277778	1.5	0.23	0.0	0.107692
514	125	1	0	4	3	6	1	1.0	1	2012	4	10	2	8.0	37	1	1	2	736	0.197777778	0.053333333	0.0861111109999999	0.0	0.0308333329999999	0.0	0	0.0388888889999999	1.5	0.12	0.0	0.171429
522	126	0	2	1	3	1	1	1.0	1	2012	4	10	2	16.0	49	0	1	1	813	0.232222222	0.0847222219999999	0.120555556	0.0	0.038611111	0.0	0	0.053055556	1.5	0.16	0.0	0.078534
528	126	3	0	4	3	1	4	0.5	1	2012	4	10	2	10.5	18	0	0	1	2532	0.575	0.198611111	0.094722222	0.0	0.2166666669999999	0.0	0	0.124166667	0.75	0.4	0.0	0.331096
603	145	0	1	4	3	2	5	0.0	1	2012	4	12	4	15.25	66	1	0	1	1104	0.3388888889999999	0.113333333	0.076111111	0.0	0.1166666669999999	0.0	0	0.104444444	0.0	0.22	0.0	0.0638298
651	157	1	0	4	4	1	1	1.0	1	2012	4	12	4	6.0	28	1	1	1	12195	2.841388889	0.873055556	0.171111111	0.0	0.902222222	0.121111111	1	0.7061111109999999	3.0	2.15	0.0	0.361133
652	157	1	2	4	4	1	1	1.0	1	2012	4	12	4	9.5	28	1	1	1	1496	0.406666667	0.1022222219999999	0.107777778	0.0	0.195277778	0.088055556	1	0.1047222219999999	3.0	0.31	0.0	0.129973
690	168	1	1	3	1	6	1	1.0	1	2012	4	12	4	21.0	33	0	1	0	3322	0.779444444	0.278055556	0.1819444439999999	0.0	0.2713888889999999	0.0	0	0.2344444439999999	1.5	0.57	0.0	0.395735
734	179	5	0	3	3	2	1	1.0	1	2012	4	13	5	13.75	25	0	0	1	1140	0.249444444	0.081388889	0.024722222	0.0	0.0922222219999999	0.0	0	0.0705555559999999	1.5	0.15	0.0	0.326772
764	184	1	0	4	3	1	1	1.0	1	2012	4	14	6	14.0	46	0	1	2	9886	2.514444444	0.782222222	0.080555556	0.0	0.895277778	0.154444444	1	0.465555556	3.0	1.68	0.0	0.301909
771	184	4	1	4	3	2	5	0.0	1	2012	4	14	6	16.5	9	0	0	2	9886	2.566111111	0.818888889	0.079444444	0.0	0.885	0.166666667	1	0.440555556	0.0	1.46	0.0	0.222573
773	184	5	1	4	3	2	5	0.0	1	2012	4	14	6	16.5	8	1	0	2	9886	2.566111111	0.818888889	0.079444444	0.0	0.885	0.166666667	1	0.440555556	0.0	1.46	0.0	0.222573
783	187	1	0	4	3	2	5	0.0	1	2012	4	14	6	10.0	74	1	0	1	9141	2.238888889	0.7075	0.101388889	0.1	0.589166667	0.083333333	1	0.544722222	0.0	1.34	0.0	0.427843
817	197	1	3	1	5	1	1	1.0	1	2012	4	14	6	18.0	41	0	1	2	538	0.120833333	0.038055556	0.064444444	0.0	0.033333333	0.0	0	0.0308333329999999	1.5	0.08	0.0	0.351351
821	198	1	1	4	3	6	5	0.0	1	2012	4	15	7	20.83333333	83	0	0	0	2865	0.810277778	0.231388889	0.098333333	0.0	0.230555556	0.2	1	0.144444444	0.0	0.52	0.0	0.273077
832	200	1	4	1	3	2	1	1.0	1	2012	4	15	7	17.25	58	1	1	1	2367	0.590555556	0.166111111	0.176388889	0.0	0.108333333	0.0	0	0.136388889	1.5	0.35	0.0	0.0468431999999999
833	200	1	5	1	3	2	1	1.0	1	2012	4	15	7	18.5	58	1	1	1	2367	0.592777778	0.165833333	0.145277778	0.0	0.140277778	0.0	0	0.132777778	1.5	0.35	0.0	0.0439330999999999
843	203	2	1	3	3	6	2	0.0	1	2012	4	15	7	20.0	17	1	0	0	5374	1.336666667	0.435833333	0.193611111	0.0	0.319722222	0.066666667	1	0.411666667	0.0	1.06	0.0	0.44197
879	210	5	0	3	3	6	5	0.0	1	2012	4	15	7	10.5	7	0	0	0	3722	0.941944444	0.301111111	0.144444444	0.0	0.353055556	0.1011111109999999	1	0.2213888889999999	0.0	0.68	0.0	0.474279
886	212	1	1	4	3	2	1	1.0	1	2012	4	15	7	13.41666667	54	1	1	1	514	0.152777778	0.035	0.1197222219999999	0.0	0.040555556	0.0	0	0.049722222	1.5	0.1	0.0	0.0
906	217	1	1	3	3	6	1	0.5	1	2012	4	16	1	21.0	25	0	0	0	12039	2.9675	0.941944444	0.102777778	0.466666667	0.0875	0.2166666669999999	2	0.575833333	3.55	2.03	0.0	0.33671
923	221	0	1	4	3	1	1	1.0	1	2012	4	16	1	20.58333333	51	1	1	1	1536	0.434444444	0.152777778	0.079722222	0.0	0.080833333	0.098611111	1	0.091388889	3.0	0.33	0.0	0.0607903
926	222	1	0	3	4	1	1	1.0	1	2012	4	16	1	7.5	30	0	1	1	19102	4.158333333	1.298888889	0.42	0.716666667	0.0	0.0	0	0.976388889	3.9	2.89	10.5	0.821053
927	222	1	1	3	4	1	1	1.0	1	2012	4	16	1	16.0	30	0	1	1	19102	4.150277778	1.325277778	0.432222222	0.683333333	0.0	0.0	0	0.917222222	3.9	2.86	10.5	0.743792
953	225	2	2	3	5	1	2	0.0	1	2012	4	16	1	17.0	16	1	0	1	900	0.214166667	0.059444444	0.134166667	0.016666667	0.0	0.0	0	0.066944444	0.85	0.17	0.0	0.435685
959	227	0	1	3	1	6	1	1.0	1	2012	4	16	1	15.5	32	0	1	2	7185	1.681944444	0.5475	0.138333333	0.166666667	0.222222222	0.1375	1	0.534166667	3.9	1.28	10.5	0.630785
972	232	0	0	3	1	1	4	1.0	1	2012	4	17	2	6.333333333	42	1	1	1	18318	4.0430555560000005	1.291666667	0.381111111	0.533333333	0.0	0.133333333	1	0.943055556	5.75	2.88	10.5	0.6703979999999999
986	232	2	0	3	2	1	3	0.0	1	2012	4	17	2	7.5	14	0	0	1	4442	1.14	0.38	0.170555556	0.0	0.535555556	0.138055556	1	0.241111111	0.0	0.86	0.0	0.12212
994	232	4	0	4	2	1	5	0.0	1	2012	4	17	2	8.0	9	0	0	1	1969	0.629166667	0.264722222	0.332777778	0.0	0.217222222	0.0	0	0.159444444	0.0	0.54	0.0	0.0662021
1032	237	3	3	3	2	2	1	0.0	1	2012	4	17	2	18.0	18	1	0	2	3837	0.881388889	0.299722222	0.311111111	0.133333333	0.0	0.0	0	0.181111111	1.7	0.51	0.0	0.77454
1043	240	0	4	4	3	1	5	0.0	1	2012	4	17	2	20.0	73	0	1	1	4966	1.243333333	0.345555556	0.224722222	0.0	0.229444444	0.2166666669999999	1	0.241388889	0.0	0.87	0.0	0.148446
1054	244	0	0	1	2	6	4	0.5	1	2012	4	17	2	8.0	45	1	0	0	527	0.128055556	0.041944444	0.033055556	0.0	0.038055556	0.0	0	0.038333333	0.75	0.09	0.0	0.2681159999999999
1058	244	0	4	3	5	6	4	0.5	1	2012	4	17	2	16.33333333	45	1	0	0	5996	1.370555556	0.453055556	0.160277778	0.15	0.183333333	0.1166666669999999	1	0.440833333	2.35	0.98	10.5	0.672338
1083	248	0	0	3	3	6	5	0.0	1	2012	4	18	3	9.25	65	0	0	0	3997	0.9825	0.314444444	0.072777778	0.0	0.395	0.0	0	0.3408333329999999	0.0	0.74	0.0	0.678892
1090	249	1	1	1	2	6	1	1.0	1	2012	4	18	3	8.75	51	1	0	0	1244	0.358333333	0.099444444	0.2288888889999999	0.0	0.044444444	0.0	0	0.133888889	1.5	0.3	0.0	0.244813
1098	249	5	1	2	2	6	5	0.0	1	2012	4	18	3	15.5	9	0	0	0	1244	0.358333333	0.099444444	0.200555556	0.0	0.088055556	0.0	0	0.141666667	0.0	0.31	0.0	0.34902
1103	251	1	3	3	4	6	1	1.0	1	2012	4	18	3	18.5	30	0	0	0	12860	2.926388889	0.961111111	0.253055556	0.5	0.0	0.1166666669999999	1	0.822777778	3.9	2.05	0.0	0.583727
1117	254	0	1	4	1	2	1	1.0	1	2012	4	18	3	17.0	33	1	0	1	1373	0.352222222	0.133055556	0.1436111109999999	0.0	0.153333333	0.0	0	0.163055556	1.5	0.28	0.0	0.502555
1136	257	0	1	4	4	1	1	1.0	1	2012	4	18	3	14.5	46	0	1	2	5381	1.320277778	0.493888889	0.187777778	0.0	0.261944444	0.0	0	0.198333333	1.5	0.78	0.0	0.2030809999999999
1140	257	1	2	3	2	1	1	1.0	1	2012	4	18	3	14.75	37	1	0	2	881	0.245833333	0.0608333329999999	0.11	0.0	0.059166667	0.0	0	0.056666667	1.5	0.17	0.0	0.367647
1144	257	3	0	3	2	1	5	0.0	1	2012	4	18	3	8.5	7	1	0	2	881	0.245833333	0.0608333329999999	0.11	0.0	0.041666667	0.0	0	0.073333333	0.0	0.19	0.0	0.280303
1150	258	0	2	3	1	6	1	1.0	1	2012	4	18	3	19.0	34	0	0	0	6622	1.641388889	0.485	0.194444444	0.0	0.455555556	0.1	1	0.413888889	3.0	1.15	0.0	0.436242
1228	273	1	1	4	1	1	1	1.0	1	2012	4	19	4	16.0	41	1	1	1	10306	2.319722222	0.658888889	0.324444444	0.3833333329999999	0.0	0.0	0	0.561388889	2.4	1.7	0.0	0.605641
1256	280	0	1	3	3	1	5	0.0	1	2012	4	19	4	15.25	72	0	1	1	908	0.3	0.105833333	0.253055556	0.0	0.060277778	0.0	0	0.141388889	0.0	0.37	0.0	0.471513
1302	284	0	0	4	2	2	1	1.0	1	2012	4	20	5	8.5	32	1	1	2	463	0.130555556	0.028611111	0.095833333	0.0	0.016666667	0.0	0	0.036388889	1.5	0.08	0.0	0.00763359
1317	285	1	3	3	2	2	2	0.0	1	2012	4	20	5	15.5	16	0	0	2	552	0.129444444	0.0313888889999999	0.069166667	0.0	0.02	0.0	0	0.051388889	0.0	0.09	0.0	0.1513509999999999
1324	285	4	0	1	2	2	5	0.0	1	2012	4	20	5	8.0	8	1	0	2	552	0.123611111	0.046944444	0.067777778	0.0	0.026666667	0.0	0	0.055833333	0.0	0.09	0.0	0.0298507
1325	285	4	1	3	2	2	5	0.0	1	2012	4	20	5	15.5	8	1	0	2	552	0.129444444	0.0313888889999999	0.069166667	0.0	0.02	0.0	0	0.051388889	0.0	0.09	0.0	0.1513509999999999
1328	286	1	0	4	1	2	1	1.0	1	2012	4	20	5	4.0	57	0	1	1	21604	5.017777778	1.487222222	0.383055556	0.0	1.111944444	0.172777778	1	0.734722222	3.0	3.01	0.0	0.174291
1335	286	3	5	3	5	2	1	1.0	1	2012	4	20	5	21.58333333	22	0	0	1	3385	0.798333333	0.233333333	0.066111111	0.0	0.289166667	0.106111111	1	0.165833333	3.0	0.51	0.0	0.134003
1337	287	0	1	3	3	6	1	1.0	1	2012	4	20	5	18.5	24	1	0	0	2960	0.7483333329999999	0.2688888889999999	0.255	0.0	0.246111111	0.0	0	0.2144444439999999	1.5	0.52	0.0	0.507772
1340	288	0	0	4	4	2	1	1.0	1	2012	4	20	5	7.5	28	1	1	1	5040	1.270555556	0.415	0.0725	0.0	0.7125	0.0	0	0.276666667	1.5	0.79	0.0	0.4026099999999999
1409	299	0	3	1	5	1	1	1.0	1	2012	4	20	5	16.25	24	1	0	1	972	0.259444444	0.064444444	0.135277778	0.0	0.091388889	0.0	0	0.083611111	1.5	0.2	0.0	0.242525
1416	300	0	1	4	3	1	1	1.0	1	2012	4	20	5	14.38333333	62	0	1	2	2057	0.53	0.145555556	0.186111111	0.0	0.145277778	0.0	0	0.151111111	1.5	0.39	0.0	0.0551471
1429	304	0	0	1	2	6	1	1.0	1	2012	4	20	5	10.75	55	1	0	0	338	0.100833333	0.045555556	0.074722222	0.0	0.02	0.0	0	0.027777778	1.5	0.07	0.0	0.17
1433	305	0	1	4	3	1	1	1.0	1	2012	4	20	5	10.58333333	26	1	0	1	3061	0.6963888890000001	0.2419444439999999	0.146388889	0.1	0.0	0.0	0	0.199444444	1.5	0.56	0.0	0.324513
1451	307	0	1	4	5	1	1	0.0	1	2012	4	21	6	18.0	35	1	1	2	14038	3.228333333	1.134166667	0.118333333	0.4	0.040555556	0.097777778	1	0.720833333	1.5	2.14	0.0	0.367245
1468	311	0	1	4	5	2	1	1.0	1	2012	4	21	6	18.85	29	1	1	2	6704	1.6825	0.584444444	0.149166667	0.25	0.113333333	0.3	2	0.435833333	5.9	1.18	0.0	0.530274
1479	312	2	2	1	3	1	1	0.5	1	2012	4	21	6	18.0	39	0	1	1	502	0.145555556	0.039722222	0.130555556	0.0	0.029166667	0.0	0	0.045277778	0.75	0.12	0.0	0.2147239999999999
1491	316	1	0	3	3	1	4	1.0	1	2012	4	21	6	12.5	19	1	0	1	5190	1.3	0.359166667	0.145277778	0.0	0.586111111	0.0	0	0.438055556	1.5	1.03	0.0	0.4020289999999999
1495	316	2	2	4	3	1	1	1.0	1	2012	4	21	6	12.91666667	62	0	1	1	714	0.2319444439999999	0.069722222	0.166666667	0.0	0.0388888889999999	0.0	0	0.066666667	1.5	0.18	0.0	0.075
1505	319	0	0	3	3	6	1	1.0	1	2012	4	21	6	18.25	18	1	0	0	6881	1.6	0.435833333	0.139444444	0.0	0.6075	0.0	0	0.380555556	1.5	1.14	0.0	0.5313869999999999
1539	325	1	4	4	5	2	1	1.0	1	2012	4	21	6	12.5	51	1	1	1	4493	1.3919444440000002	0.392222222	0.24	0.1	0.344166667	0.1166666669999999	1	0.306944444	3.0	0.84	0.0	0.419005
1560	327	1	2	4	3	1	5	0.0	1	2012	4	22	7	18.08333333	84	1	0	1	2261	0.553333333	0.186944444	0.121388889	0.0	0.111666667	0.0	0	0.128333333	0.0	0.37	0.0	0.186147
1562	328	0	0	3	4	1	1	1.0	1	2012	4	22	7	10.75	40	0	0	1	3598	0.8341666670000001	0.255	0.1988888889999999	0.0	0.358055556	0.0	0	0.235555556	1.5	0.66	0.0	0.279481
1580	332	0	2	3	5	2	1	1.0	1	2012	4	22	7	11.41666667	45	1	1	1	2825	1.230555556	0.571666667	0.137777778	0.016666667	0.025	0.15	1	0.2691666669999999	3.0	0.66	0.0	0.356037
1655	346	3	3	4	3	1	5	0.0	1	2012	4	23	1	18.75	5	1	0	1	6622	1.584722222	0.366111111	0.4552777779999999	0.0	0.233333333	0.0	0	0.2738888889999999	0.0	1.04	0.0	0.0537524999999999
1658	348	0	0	3	1	1	1	1.0	1	2012	4	23	1	8.166666667000001	53	0	1	2	6123	1.468333333	0.538333333	0.229444444	0.3	0.0	0.0	0	0.405	2.9	1.08	0.0	0.747599
1678	353	0	2	4	1	1	1	1.0	1	2012	4	23	1	9.0	36	1	1	1	2235	0.650277778	0.183611111	0.098333333	0.0	0.281388889	0.0	0	0.170555556	1.5	0.5	0.0	0.514658
1679	353	0	3	4	1	1	1	1.0	1	2012	4	23	1	13.5	36	1	1	1	2235	0.6477777779999999	0.182222222	0.096111111	0.0	0.293611111	0.0	0	0.168888889	1.5	0.56	0.0	0.353618
1714	360	1	0	3	3	6	1	1.0	1	2012	4	24	2	9.0	24	1	0	0	3442	0.951944444	0.270277778	0.076111111	0.0	0.276111111	0.0	0	0.238055556	1.5	0.67	0.0	0.271879
1735	364	2	0	3	2	1	2	0.0	1	2012	4	24	2	7.75	16	0	0	1	2467	0.561111111	0.1675	0.226111111	0.0	0.096388889	0.0	0	0.135	0.0	0.39	0.0	0.0534979
1736	364	2	1	1	5	1	2	0.0	1	2012	4	24	2	10.0	16	0	0	1	321	0.088055556	0.040833333	0.039722222	0.0	0.0144444439999999	0.0	0	0.042222222	0.0	0.09	0.0	0.0328946999999999
1742	364	3	4	1	3	1	1	1.0	1	2012	4	24	2	14.25	19	0	0	1	931	0.226944444	0.0505555559999999	0.146944444	0.0	0.0475	0.0	0	0.045555556	1.5	0.15	0.0	0.189024
1778	371	0	0	3	2	6	1	1.0	1	2012	4	25	3	8.5	30	1	1	0	704	0.19	0.081388889	0.101388889	0.0	0.0536111109999999	0.0	0	0.0847222219999999	1.5	0.17	0.0	0.429508
1785	372	0	0	4	2	5	1	1.0	1	2012	4	25	3	8.666666667000001	48	1	1	1	848	0.302777778	0.128888889	0.191111111	0.0	0.035555556	0.0	0	0.091666667	1.5	0.29	0.0	0.151515
1804	374	3	0	3	2	1	1	1.0	1	2012	4	25	3	9.75	20	0	1	1	11166	2.658888889	0.785	0.268611111	0.233333333	0.4	0.133333333	1	0.6919444440000001	3.0	2.24	0.0	0.526696
1834	380	0	2	3	4	1	5	0.0	1	2012	4	25	3	13.5	64	1	1	2	749	0.208888889	0.076388889	0.085	0.0	0.0605555559999999	0.0	0	0.071666667	0.0	0.17	0.0	0.321705
1842	381	1	2	4	3	1	1	1.0	1	2012	4	26	4	14.5	37	1	1	1	2111	0.5175	0.212222222	0.074722222	0.0	0.164722222	0.173888889	1	0.131944444	3.0	0.4	0.0	0.231579
1847	381	1	8	4	3	1	1	1.0	1	2012	4	26	4	20.0	37	1	1	1	2111	0.488055556	0.129722222	0.245277778	0.0	0.050833333	0.0	0	0.090277778	1.5	0.33	0.0	0.1753849999999999
1853	382	1	1	4	4	5	1	1.0	1	2012	4	26	4	13.5	25	0	1	2	4063	1.073611111	0.4427777779999999	0.270833333	0.133333333	0.0	0.0	0	0.495833333	2.4	1.41	10.5	0.666667
1854	382	3	3	4	4	1	1	1.0	1	2012	4	26	4	13.5	53	0	1	2	4063	1.073611111	0.4427777779999999	0.270833333	0.133333333	0.0	0.0	0	0.495833333	2.4	1.12	10.5	0.666667
1871	387	0	1	3	1	1	1	1.0	1	2012	4	27	5	15.75	32	0	1	1	8426	2.026388889	0.806388889	0.218333333	0.15	0.307777778	0.166666667	1	0.6269444439999999	3.0	2.09	0.0	0.43066
1875	387	1	7	4	1	1	1	1.0	1	2012	4	27	5	21.0	36	1	1	1	8762	2.194722222	0.640277778	0.2	0.0	0.585555556	0.233333333	1	0.397222222	3.0	1.41	0.0	0.127972
1897	393	0	5	4	3	2	1	1.0	1	2012	4	27	5	23.16666667	43	0	1	2	6282	1.501944444	0.543888889	0.140555556	0.1	0.286666667	0.1	1	0.319444444	3.9	0.94	0.0	0.6
1906	396	1	0	4	1	2	5	0.0	1	2012	4	27	5	7.0	61	1	1	1	919	0.280277778	0.111388889	0.0925	0.0	0.078333333	0.0	0	0.070833333	0.0	0.18	0.0	0.384314
1913	397	1	8	4	5	1	1	1.0	1	2012	4	27	5	15.3	38	1	1	2	1699	0.468055556	0.131111111	0.166388889	0.0	0.143055556	0.0	0	0.128055556	1.5	0.37	0.0	0.121475
1926	399	4	2	3	3	2	3	0.0	1	2012	4	27	5	14.5	15	0	0	1	2036	0.536388889	0.1925	0.227777778	0.033333333	0.0	0.0	0	0.222777778	0.75	0.48	0.0	0.2344139999999999
1938	402	1	0	3	1	6	1	1.0	1	2012	4	27	5	8.0	34	0	1	0	8151	1.946111111	0.600833333	0.127777778	0.4	0.0	0.083333333	1	0.541111111	2.9	1.35	0.0	0.706879
1939	402	1	1	3	1	6	1	1.0	1	2012	4	27	5	17.25	34	0	1	0	8151	1.978055556	0.715833333	0.133888889	0.35	0.0	0.083333333	1	0.644444444	4.8	1.52	10.5	0.606034
